Landreis ID,weekly_cases,inzidenz,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+,weekly_cases_unbekannt,inzidenz_unbekannt,date
5515,16.0,5.074644854151535,1.0,6.866717022591499,2.0,7.930843048616068,8.0,7.781722678858032,4.0,3.984619369234754,1.0,1.850515368530135,0.0,0.0,,,11.06.2021
5515,22.0,6.9776366744583616,1.0,6.866717022591499,5.0,19.82710762154017,10.0,9.72715334857254,4.0,3.984619369234754,1.0,1.850515368530135,1.0,5.469861065528936,,,12.06.2021
5515,21.0,6.66047137107389,2.0,13.733434045182998,4.0,15.861686097232136,9.0,8.754438013715287,4.0,3.984619369234754,1.0,1.850515368530135,1.0,5.469861065528936,,,13.06.2021
5515,22.0,6.9776366744583616,2.0,13.733434045182998,4.0,15.861686097232136,10.0,9.72715334857254,4.0,3.984619369234754,1.0,1.850515368530135,1.0,5.469861065528936,,,14.06.2021
5515,19.0,6.026140764304948,2.0,13.733434045182998,4.0,15.861686097232136,9.0,8.754438013715287,2.0,1.992309684617377,1.0,1.850515368530135,1.0,5.469861065528936,,,15.06.2021
5515,17.0,5.391810157536006,1.0,6.866717022591499,2.0,7.930843048616068,7.0,6.809007344000778,5.0,4.980774211543444,1.0,1.850515368530135,1.0,5.469861065528936,,,16.06.2021
5515,17.0,5.391810157536006,1.0,6.866717022591499,2.0,7.930843048616068,7.0,6.809007344000778,5.0,4.980774211543444,1.0,1.850515368530135,1.0,5.469861065528936,,,17.06.2021
5515,8.0,2.5373224270757677,1.0,6.866717022591499,1.0,3.965421524308034,4.0,3.890861339429016,3.0,2.988464526926065,0.0,0.0,-1.0,-5.469861065528936,,,18.06.2021
5515,8.0,2.5373224270757677,1.0,6.866717022591499,0.0,0.0,4.0,3.890861339429016,3.0,2.988464526926065,0.0,0.0,0.0,0.0,,,19.06.2021
5515,9.0,2.854487730460238,1.0,6.866717022591499,0.0,0.0,5.0,4.86357667428627,3.0,2.988464526926065,0.0,0.0,0.0,0.0,,,20.06.2021
5515,9.0,2.854487730460238,1.0,6.866717022591499,0.0,0.0,5.0,4.86357667428627,3.0,2.988464526926065,0.0,0.0,0.0,0.0,,,21.06.2021
5515,7.0,2.220157123691296,1.0,6.866717022591499,0.0,0.0,5.0,4.86357667428627,1.0,0.996154842308688,0.0,0.0,0.0,0.0,,,22.06.2021
5515,7.0,2.220157123691296,1.0,6.866717022591499,0.0,0.0,5.0,4.86357667428627,1.0,0.996154842308688,0.0,0.0,0.0,0.0,,,23.06.2021
5515,6.0,1.9029918203068248,1.0,6.866717022591499,0.0,0.0,4.0,3.890861339429016,1.0,0.996154842308688,0.0,0.0,0.0,0.0,,,24.06.2021
5515,8.0,2.5373224270757677,1.0,6.866717022591499,0.0,0.0,6.0,5.836292009143524,1.0,0.996154842308688,0.0,0.0,0.0,0.0,,,25.06.2021
5515,7.0,2.220157123691296,1.0,6.866717022591499,0.0,0.0,5.0,4.86357667428627,1.0,0.996154842308688,0.0,0.0,0.0,0.0,,,26.06.2021
5515,6.0,1.9029918203068248,0.0,0.0,0.0,0.0,5.0,4.86357667428627,1.0,0.996154842308688,0.0,0.0,0.0,0.0,,,27.06.2021
5515,8.0,2.5373224270757677,0.0,0.0,0.0,0.0,7.0,6.809007344000778,1.0,0.996154842308688,0.0,0.0,0.0,0.0,,,28.06.2021
5515,7.0,2.220157123691296,0.0,0.0,0.0,0.0,7.0,6.809007344000778,0.0,0.0,0.0,0.0,0.0,0.0,,,29.06.2021
5515,11.0,3.48881833722918,0.0,0.0,1.0,3.965421524308034,9.0,8.754438013715287,0.0,0.0,0.0,0.0,1.0,5.469861065528936,,,30.06.2021
5515,12.0,3.805983640613651,1.0,6.866717022591499,2.0,7.930843048616068,8.0,7.781722678858032,0.0,0.0,0.0,0.0,1.0,5.469861065528936,,,01.07.2021
5515,12.0,3.805983640613651,1.0,6.866717022591499,2.0,7.930843048616068,7.0,6.809007344000778,0.0,0.0,1.0,1.850515368530135,1.0,5.469861065528936,,,02.07.2021
5515,12.0,3.805983640613651,1.0,6.866717022591499,2.0,7.930843048616068,5.0,4.86357667428627,0.0,0.0,2.0,3.701030737060271,2.0,10.939722131057872,,,03.07.2021
